STATIONS_ID;MESS_DATUM;  R1;RS_IND
        399;2001030906;   1.3;   1
        399;2001030907;   1.6;   1
        399;2001030908;   1.0;   1
        399;2001030909;   0.6;   1
        399;2001030910;   0.1;   1
        399;2001030911;   0.1;   1
        399;2001030912;   0.0;   1
        399;2001030913;   0.0;   0
        399;2001030914;   0.0;   0
        399;2001030915;   0.0;   1
        399;2001030916;   0.0;   1
        399;2001030917;   0.0;   0
        399;2001030918;   0.0;   0
        399;2001030919;   0.0;   0
        399;2001030920;   0.0;   0
        399;2001030921;   0.0;   0
        399;2001030922;   0.0;   0
        399;2001030923;   0.0;   0
        399;2001031000;   0.0;   0
        399;2001031001;   0.0;   0
        399;2001031002;   0.0;   0
        399;2001031003;   0.0;   0
        399;2001031004;   0.0;   0
        399;2001031005;   0.0;   0
        399;2001031006;   0.0;   0
        399;2001031007;   0.0;   0
        399;2001031008;   0.0;   0
        399;2001031009;   0.0;   0
        399;2001031010;   0.0;   0
        399;2001031011;   0.0;   1
        399;2001031012;   0.0;   1
        399;2001031013;   0.0;   1
        399;2001031014;   0.5;   1
        399;2001031015;   0.6;   1
        399;2001031016;   0.0;   0
        399;2001031017;   0.0;   1
        399;2001031018;   0.0;   0
        399;2001031019;   0.0;   0
        399;2001031020;   0.0;   0
        399;2001031021;   0.0;   0
        399;2001031022;   0.0;   0
        399;2001031023;   0.0;   0
        399;2001031100;   0.0;   0
        399;2001031101;   0.0;   0
        399;2001031102;   0.0;   1
        399;2001031103;   0.0;   0
        399;2001031104;   0.0;   0
        399;2001031105;   0.7;   1
        399;2001031106;   0.3;   1
        399;2001031107;   0.2;   1
        399;2001031108;   0.0;   0
        399;2001031109;   0.0;   1
        399;2001031110;   0.4;   1
        399;2001031111;   0.0;   0
        399;2001031112;   0.0;   0
        399;2001031113;   0.5;   1
        399;2001031114;   0.0;   1
        399;2001031115;   0.0;   0
        399;2001031116;   0.0;   0
        399;2001031117;   0.0;   1
        399;2001031118;   0.0;   0
        399;2001031119;   0.0;   0
        399;2001031120;   0.0;   0
        399;2001031121;   0.0;   0
        399;2001031122;   0.0;   0
        399;2001031123;   0.0;   0
        399;2001031200;   0.0;   0
        399;2001031201;   0.0;   0
        399;2001031202;   0.0;   0
        399;2001031203;   0.0;   0
        399;2001031204;   0.0;   0
        399;2001031205;   0.1;   1
        399;2001031206;   0.1;   1
        399;2001031207;   0.0;   1
        399;2001031208;   0.0;   0
        399;2001031209;   0.0;   0
        399;2001031210;   0.0;   1
        399;2001031211;   0.0;   1
        399;2001031212;   0.0;   1
        399;2001031213;   0.0;   1
        399;2001031214;   0.0;   1
        399;2001031215;   0.0;   1
        399;2001031216;   0.0;   1
        399;2001031217;   0.0;   1
        399;2001031218;   0.1;   1
        399;2001031219;   0.0;   1
        399;2001031220;   0.1;   1
        399;2001031221;   0.0;   1
        399;2001031222;   0.0;   1
        399;2001031223;   0.7;   1
        399;2001031300;   0.3;   1
        399;2001031301;   0.1;   1
        399;2001031302;   0.1;   1
        399;2001031303;   0.3;   1
        399;2001031304;   0.1;   1
        399;2001031305;   0.0;   1
        399;2001031306;   0.0;   1
        399;2001031307;   0.0;   1
        399;2001031308;   0.6;   1
        399;2001031309;   0.0;   0
        399;2001031310;   0.0;   0
        399;2001031311;   0.0;   0
        399;2001031312;   0.0;   0
        399;2001031313;   0.0;   0
        399;2001031314;   0.0;   0
        399;2001031315;   0.0;   0
        399;2001031316;   0.0;   0
        399;2001031317;   0.0;   0
        399;2001031318;   0.0;   0
        399;2001031319;   0.0;   0
        399;2001031320;   0.0;   0
        399;2001031321;   0.0;   0
        399;2001031322;   0.0;   0
        399;2001031323;   0.0;   0
        399;2001031400;   0.0;   1
        399;2001031401;   0.0;   1
        399;2001031402;   0.0;   0
        399;2001031403;   0.0;   1
        399;2001031404;   0.0;   0
        399;2001031405;   0.0;   0
        399;2001031406;   0.0;   1
        399;2001031407;   0.4;   1
        399;2001031408;   0.0;   1
        399;2001031409;   0.0;   1
        399;2001031410;   0.1;   1
        399;2001031411;   0.3;   1
        399;2001031412;   0.0;   1
        399;2001031413;   0.1;   1
        399;2001031414;   3.1;   1
        399;2001031415;   0.9;   1
        399;2001031416;   0.0;   1
        399;2001031417;   0.3;   1
        399;2001031418;   0.3;   1
        399;2001031419;   0.1;   1
        399;2001031420;   1.8;   1
        399;2001031421;   0.1;   1
        399;2001031422;   0.0;   0
        399;2001031423;   0.0;   0
        399;2001031500;   0.0;   0
        399;2001031501;   0.0;   0
        399;2001031502;   0.0;   0
        399;2001031503;   0.0;   0
        399;2001031504;   0.0;   1
        399;2001031505;   0.0;   1
        399;2001031506;   0.0;   0
        399;2001031507;   0.0;   1
        399;2001031508;   0.0;   1
        399;2001031509;   0.0;   0
        399;2001031510;   0.0;   0
        399;2001031511;   0.0;   1
        399;2001031512;   0.0;   0
        399;2001031513;   0.0;   0
        399;2001031514;   0.2;   1
        399;2001031515;   0.4;   1
        399;2001031516;   0.0;   0
        399;2001031517;   0.0;   0
        399;2001031518;   0.0;   0
        399;2001031519;   0.0;   0
        399;2001031520;   0.0;   0
        399;2001031521;   0.0;   0
        399;2001031522;   0.0;   0
        399;2001031523;   0.0;   0
        399;2001031600;   0.0;   0
        399;2001031601;   0.0;   0
        399;2001031602;   0.0;   0
        399;2001031603;   0.0;   0
        399;2001031604;   0.0;   0
        399;2001031605;   0.0;   0
        399;2001031606;   0.0;   0
        399;2001031607;   0.0;   0
        399;2001031608;   0.0;   0
        399;2001031609;   0.0;   0
        399;2001031610;   0.0;   0
        399;2001031611;   0.0;   0
        399;2001031612;   0.0;   0
        399;2001031613;   0.0;   0
        399;2001031614;   0.0;   0
        399;2001031615;   0.0;   1
        399;2001031616;   0.0;   0
        399;2001031617;   0.0;   0
        399;2001031618;   0.0;   0
        399;2001031619;   0.0;   0
        399;2001031620;   0.0;   0
        399;2001031621;   0.0;   0
        399;2001031622;   0.0;   0
        399;2001031623;   0.0;   0
        399;2001031700;   0.0;   0
        399;2001031701;   0.0;   0
        399;2001031702;   0.0;   0
        399;2001031703;   0.0;   0
        399;2001031704;   0.0;   0
        399;2001031705;   0.0;   0
        399;2001031706;   0.0;   0
        399;2001031707;   0.0;   0
        399;2001031708;   0.0;   0
        399;2001031709;   0.0;   0
        399;2001031710;   0.0;   0
        399;2001031711;   0.0;   0
        399;2001031712;   0.0;   0
        399;2001031713;   0.0;   0
        399;2001031714;   0.0;   0
        399;2001031715;   0.0;   0
        399;2001031716;   0.0;   0
        399;2001031717;   0.0;   0
        399;2001031718;   0.0;   0
        399;2001031719;   0.0;   0
        399;2001031720;   0.0;   0
        399;2001031721;   0.0;   0
        399;2001031722;   0.0;   0
        399;2001031723;   0.0;   1
        399;2001031800;   0.0;   1
        399;2001031801;   0.0;   1
        399;2001031802;   0.0;   0
        399;2001031803;   0.0;   1
        399;2001031804;   0.3;   1
        399;2001031805;   0.1;   1
        399;2001031806;   0.1;   1
        399;2001031807;   0.1;   1
        399;2001031808;   0.2;   1
        399;2001031809;   0.0;   0
        399;2001031810;   0.2;   1
        399;2001031811;   0.1;   1
        399;2001031812;   0.0;   0
        399;2001031813;   0.1;   1
        399;2001031814;   0.0;   1
        399;2001031815;   0.0;   0
        399;2001031816;   0.0;   1
        399;2001031817;   0.0;   0
        399;2001031818;   0.0;   0
        399;2001031819;   0.0;   0
        399;2001031820;   0.0;   0
        399;2001031821;   0.0;   0
        399;2001031822;   0.1;   1
        399;2001031823;   0.1;   1
        399;2001031900;   0.9;   1
        399;2001031901;   1.1;   1
        399;2001031902;   1.0;   1
        399;2001031903;   0.6;   1
        399;2001031904;   0.0;   1
        399;2001031905;   0.1;   1
        399;2001031906;   1.3;   1
        399;2001031907;   0.3;   1
        399;2001031908;   0.1;   1
        399;2001031909;   2.4;   1
        399;2001031910;   0.0;   1
        399;2001031911;   0.0;   0
        399;2001031912;   0.0;   1
        399;2001031913;   0.9;   1
        399;2001031914;   0.4;   1
        399;2001031915;   0.0;   1
        399;2001031916;   0.0;   1
        399;2001031917;   0.0;   0
        399;2001031918;   0.0;   1
        399;2001031919;   0.9;   1
        399;2001031920;   0.8;   1
        399;2001031921;   0.4;   1
        399;2001031922;   0.2;   1
        399;2001031923;   0.4;   1
        399;2001032000;   0.1;   1
        399;2001032001;   0.1;   1
        399;2001032002;   0.0;   1
        399;2001032003;   0.0;   1
        399;2001032004;   0.6;   1
        399;2001032005;   0.1;   1
        399;2001032006;   0.0;   1
        399;2001032007;   0.0;   0
        399;2001032008;   0.0;   0
        399;2001032009;   0.0;   0
        399;2001032010;   0.0;   0
        399;2001032011;   0.0;   0
        399;2001032012;   0.0;   0
        399;2001032013;   0.0;   0
        399;2001032014;   0.0;   0
        399;2001032015;   0.0;   0
        399;2001032016;   0.0;   0
        399;2001032017;   0.0;   0
        399;2001032018;   0.0;   0
        399;2001032019;   0.0;   0
        399;2001032020;   0.0;   0
        399;2001032021;   0.0;   0
        399;2001032022;   0.0;   0
        399;2001032023;   0.0;   0
        399;2001032100;   0.0;   0
        399;2001032101;   0.0;   0
        399;2001032102;   0.0;   0
        399;2001032103;   0.0;   0
        399;2001032104;   0.0;   0
        399;2001032105;   0.0;   0
        399;2001032106;   0.0;   0
        399;2001032107;   0.0;   0
        399;2001032108;   0.0;   0
        399;2001032109;   0.0;   0
        399;2001032110;   0.0;   0
        399;2001032111;   0.0;   0
        399;2001032112;   0.0;   0
        399;2001032113;   0.0;   0
        399;2001032114;   0.0;   0
        399;2001032115;   0.0;   0
        399;2001032116;   0.0;   0
        399;2001032117;   0.0;   0
        399;2001032118;   0.0;   0
